"Database","Pathway","Overlap","Genes","p_value","FDR","Combined_Score","Direction"
"GO_Biological_Process_2023","Mucosal Immune Response (GO:0002385)","1/28","DEFA5","0.0317","0.1203","115.9","Positive"
"GO_Biological_Process_2023","Negative Regulation Of Signaling (GO:0023057)","1/28","OSM","0.0317","0.1203","115.9","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Programmed Cell Death (GO:0043068)","2/245","STK3;IP6K2","0.0319","0.1203","26.6","Positive"
"GO_Biological_Process_2023","Establishment Of Mitotic Spindle Orientation (GO:0000132)","1/29","NDC80","0.0328","0.1214","110.6","Positive"
"GO_Biological_Process_2023","Negative Regulation Of Myeloid Leukocyte Differentiation (GO:0002762)","1/30","C1QC","0.0340","0.1214","105.8","Positive"
"GO_Biological_Process_2023","Negative Regulation Of Blood Coagulation (GO:0030195)","1/30","FGG","0.0340","0.1214","105.8","Positive"
"GO_Biological_Process_2023","Cellular Response To Reactive Oxygen Species (GO:0034614)","1/73","ZNF580","0.0773","0.1216","33.7","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Lymphocyte Proliferation (GO:0050671)","1/74","MEF2C","0.0784","0.1216","33.1","Negative"
"GO_Biological_Process_2023","Negative Regulation Of Neuron Apoptotic Process (GO:0043524)","1/74","MEF2C","0.0784","0.1216","33.1","Negative"
"GO_Biological_Process_2023","Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902041)","1/31","FGG","0.0351","0.1226","101.3","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Apoptotic Process (GO:0043065)","2/270","STK3;IP6K2","0.0381","0.1226","22.9","Positive"
"GO_Biological_Process_2023","Organophosphate Biosynthetic Process (GO:0090407)","1/34","IP6K2","0.0384","0.1226","89.5","Positive"
"GO_Biological_Process_2023","Establishment Of Mitotic Spindle Localization (GO:0040001)","1/34","NDC80","0.0384","0.1226","89.5","Positive"
"GO_Biological_Process_2023","Regulation Of Interleukin-17 Production (GO:0032660)","1/34","OSM","0.0384","0.1226","89.5","Positive"
"GO_Biological_Process_2023","Sister Chromatid Segregation (GO:0000819)","1/34","NDC80","0.0384","0.1226","89.5","Positive"
"GO_Biological_Process_2023","Establishment Of Spindle Orientation (GO:0051294)","1/35","NDC80","0.0395","0.1226","86.2","Positive"
"GO_Biological_Process_2023","Platelet Aggregation (GO:0070527)","1/35","FGG","0.0395","0.1226","86.2","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900026)","1/35","FGG","0.0395","0.1226","86.2","Positive"
"GO_Biological_Process_2023","Cell Morphogenesis Involved In Neuron Differentiation (GO:0048667)","1/77","MEF2C","0.0814","0.1236","31.3","Negative"
"GO_Biological_Process_2023","Positive Regulation Of JNK Cascade (GO:0046330)","1/77","LTBR","0.0814","0.1236","31.3","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Endothelial Cell Proliferation (GO:0001938)","1/77","ZNF580","0.0814","0.1236","31.3","Negative"
"GO_Biological_Process_2023","Spliceosomal snRNP Assembly (GO:0000387)","1/37","GEMIN7","0.0417","0.1241","80.0","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Exocytosis (GO:0045921)","1/37","FGG","0.0417","0.1241","80.0","Positive"
"GO_Biological_Process_2023","Negative Regulation Of Epithelial Cell Apoptotic Process (GO:1904036)","1/38","FGG","0.0428","0.1241","77.2","Positive"
"GO_Biological_Process_2023","RNA Transport (GO:0050658)","1/39","RBFOX1","0.0439","0.1241","74.5","Positive"
"GO_Biological_Process_2023","Negative Regulation Of Secretion By Cell (GO:1903531)","1/40","OSM","0.0450","0.1241","72.0","Positive"
"GO_Biological_Process_2023","Regulation Of Intracellular Signal Transduction (GO:1902531)","2/297","STK3;RNF41","0.0453","0.1241","19.7","Positive"
"GO_Biological_Process_2023","Negative Regulation Of Proteolysis (GO:0045861)","1/41","DNAJC1","0.0461","0.1241","69.7","Positive"
"GO_Biological_Process_2023","Regulation Of Endothelial Cell Apoptotic Process (GO:2000351)","1/43","FGG","0.0483","0.1241","65.4","Positive"
"GO_Biological_Process_2023","Positive Regulation Of MAPK Cascade (GO:0043410)","2/310","FGG;OSM","0.0489","0.1241","18.4","Positive"
"GO_Biological_Process_2023","Phosphatidylinositol Phosphate Biosynthetic Process (GO:0046854)","1/44","IP6K2","0.0494","0.1241","63.4","Positive"
"GO_Biological_Process_2023","Regulation Of Cellular Metabolic Process (GO:0031323)","1/45","RNF41","0.0505","0.1241","61.5","Positive"
"GO_Biological_Process_2023","Establishment Of Protein Localization To Extracellular Region (GO:0035592)","1/45","FGG","0.0505","0.1241","61.5","Positive"
"GO_Biological_Process_2023","Regulation Of Stem Cell Differentiation (GO:2000736)","1/45","OSM","0.0505","0.1241","61.5","Positive"
"GO_Biological_Process_2023","Mitotic Nuclear Division (GO:0140014)","1/45","NDC80","0.0505","0.1241","61.5","Positive"
"GO_Biological_Process_2023","Zymogen Activation (GO:0031638)","1/45","FGG","0.0505","0.1241","61.5","Positive"
"GO_Biological_Process_2023","B Cell Receptor Signaling Pathway (GO:0050853)","1/46","IGHM","0.0516","0.1241","59.7","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Peptide Hormone Secretion (GO:0090277)","1/46","FGG","0.0516","0.1241","59.7","Positive"
"GO_Biological_Process_2023","Homotypic Cell-Cell Adhesion (GO:0034109)","1/46","FGG","0.0516","0.1241","59.7","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Cell-Cell Adhesion (GO:0022409)","1/46","FGG","0.0516","0.1241","59.7","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Cytokine Production (GO:0001819)","2/320","DEFA5;OSM","0.0518","0.1241","17.4","Positive"
"GO_Biological_Process_2023","Regulation Of Neuron Differentiation (GO:0045664)","1/79","MEF2C","0.0834","0.1248","30.2","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Cytoskeleton Organization (GO:0051495)","1/79","CCL27","0.0834","0.1248","30.2","Negative"
"GO_Biological_Process_2023","Regulation Of Interleukin-8 Production (GO:0032677)","1/81","ZNF580","0.0855","0.1270","29.1","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000379)","1/48","RNF41","0.0538","0.1275","56.3","Positive"
"GO_Biological_Process_2023","Heterophilic Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules (GO:0007157)","1/49","NECTIN4","0.0549","0.1275","54.8","Positive"
"GO_Biological_Process_2023","Mitotic Metaphase Plate Congression (GO:0007080)","1/50","NDC80","0.0560","0.1275","53.3","Positive"
"GO_Biological_Process_2023","Metaphase Plate Congression (GO:0051310)","1/51","NDC80","0.0571","0.1275","51.9","Positive"
"GO_Biological_Process_2023","Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900024)","1/51","FGG","0.0571","0.1275","51.9","Positive"
"GO_Biological_Process_2023","Regulation Of Proteolysis (GO:0030162)","1/52","DNAJC1","0.0582","0.1275","50.5","Positive"
"GO_Biological_Process_2023","Regulation Of Peptide Hormone Secretion (GO:0090276)","1/52","FGG","0.0582","0.1275","50.5","Positive"
"GO_Biological_Process_2023","Regulation Of Cell Development (GO:0060284)","1/52","MYSM1","0.0582","0.1275","50.5","Positive"
"GO_Biological_Process_2023","Protein Homotetramerization (GO:0051289)","1/53","DEFA5","0.0592","0.1275","49.2","Positive"
"GO_Biological_Process_2023","Regulation Of Alternative mRNA Splicing, Via Spliceosome (GO:0000381)","1/53","RBFOX1","0.0592","0.1275","49.2","Positive"
"GO_Biological_Process_2023","Regulation Of Exocytosis (GO:0017157)","1/54","FGG","0.0603","0.1286","48.0","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042531)","1/55","OSM","0.0614","0.1293","46.8","Positive"
"GO_Biological_Process_2023","Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000377)","1/56","RNF41","0.0625","0.1293","45.7","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Cellular Metabolic Process (GO:0031325)","1/56","RNF41","0.0625","0.1293","45.7","Positive"
"GO_Biological_Process_2023","Selective Autophagy (GO:0061912)","1/58","STK3","0.0646","0.1308","43.5","Positive"
"GO_Biological_Process_2023","Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850)","1/59","NDC80","0.0657","0.1308","42.5","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Protein Binding (GO:0032092)","1/59","STK3","0.0657","0.1308","42.5","Positive"
"GO_Biological_Process_2023","Regulation Of Multicellular Organismal Development (GO:2000026)","1/59","MYSM1","0.0657","0.1308","42.5","Positive"
"GO_Biological_Process_2023","Regulation Of Osteoblast Differentiation (GO:0045667)","1/85","MEF2C","0.0895","0.1311","27.2","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Endothelial Cell Migration (GO:0010595)","1/85","ZNF580","0.0895","0.1311","27.2","Negative"
"GO_Biological_Process_2023","Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules (GO:0007156)","1/60","NECTIN4","0.0668","0.1317","41.5","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Interleukin-8 Production (GO:0032757)","1/61","DEFA5","0.0679","0.1326","40.6","Positive"
"GO_Biological_Process_2023","Negative Regulation Of Cell Population Proliferation (GO:0008285)","2/379","OSM;RNF41","0.0698","0.1336","13.2","Positive"
"GO_Biological_Process_2023","Protein Polymerization (GO:0051258)","1/63","FGG","0.0700","0.1336","38.8","Positive"
"GO_Biological_Process_2023","Regulation Of Secretion By Cell (GO:1903530)","1/64","DNAJC1","0.0711","0.1336","38.0","Positive"
"GO_Biological_Process_2023","Response To Metal Ion (GO:0010038)","1/64","FGG","0.0711","0.1336","38.0","Positive"
"GO_Biological_Process_2023","Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042509)","1/65","OSM","0.0722","0.1336","37.2","Positive"
"GO_Biological_Process_2023","Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844)","1/65","DEFA5","0.0722","0.1336","37.2","Positive"
"GO_Biological_Process_2023","Regulation Of Endothelial Cell Migration (GO:0010594)","1/88","ZNF580","0.0925","0.1336","25.9","Negative"
"GO_Biological_Process_2023","Negative Regulation Of Neuron Death (GO:1901215)","1/88","MEF2C","0.0925","0.1336","25.9","Negative"
"GO_Biological_Process_2023","Extrinsic Apoptotic Signaling Pathway (GO:0097191)","1/67","RNF41","0.0743","0.1352","35.6","Positive"
"GO_Biological_Process_2023","Protein Secretion (GO:0009306)","1/67","FGG","0.0743","0.1352","35.6","Positive"
"GO_Biological_Process_2023","Positive Regulation Of MAP Kinase Activity (GO:0043406)","1/91","MEF2C","0.0955","0.1357","24.7","Negative"
"GO_Biological_Process_2023","B Cell Activation (GO:0042113)","1/92","MEF2C","0.0965","0.1357","24.3","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Gene Expression (GO:0010628)","2/480","MEF2C;ZNF580","0.0969","0.1357","9.5","Negative"
"GO_Biological_Process_2023","Regulation Of Endothelial Cell Proliferation (GO:0001936)","1/93","ZNF580","0.0975","0.1357","24.0","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Cell Population Proliferation (GO:0008284)","2/483","BTC;MEF2C","0.0979","0.1357","9.4","Negative"
"GO_Biological_Process_2023","Cellular Response To Hormone Stimulus (GO:0032870)","1/94","MEF2C","0.0985","0.1357","23.6","Negative"
"GO_Biological_Process_2023","Regulation Of mRNA Splicing, Via Spliceosome (GO:0048024)","1/94","FAM172A","0.0985","0.1357","23.6","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014068)","1/69","OSM","0.0765","0.1360","34.2","Positive"
"GO_Biological_Process_2023","Negative Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001237)","1/70","FGG","0.0775","0.1360","33.5","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Protein Transport (GO:0051222)","1/70","FGG","0.0775","0.1360","33.5","Positive"
"GO_Biological_Process_2023","Protein Autoubiquitination (GO:0051865)","1/71","RNF41","0.0786","0.1360","32.9","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Cell-Substrate Adhesion (GO:0010811)","1/71","FGG","0.0786","0.1360","32.9","Positive"
"GO_Biological_Process_2023","Cellular Response To Oxygen-Containing Compound (GO:1901701)","2/406","DEFA5;IP6K2","0.0786","0.1360","11.7","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Epithelial Cell Migration (GO:0010634)","1/95","ZNF580","0.0995","0.1362","23.2","Negative"
"GO_Biological_Process_2023","Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560)","1/96","MEF2C","0.1005","0.1366","22.9","Negative"
"GO_Biological_Process_2023","Protein Tetramerization (GO:0051262)","1/73","DEFA5","0.0807","0.1373","31.6","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Secretion By Cell (GO:1903532)","1/73","FGG","0.0807","0.1373","31.6","Positive"
"GO_Biological_Process_2023","Import Into Nucleus (GO:0051170)","1/74","STK3","0.0818","0.1380","31.0","Positive"
"GO_Biological_Process_2023","MAPK Cascade (GO:0000165)","1/98","MEF2C","0.1025","0.1384","22.2","Negative"
"GO_Molecular_Function_2023","Cysteine-Type Endopeptidase Inhibitor Activity (GO:0004869)","1/22","PTTG1","0.0239","0.1399","168.9","Negative"
"GO_Molecular_Function_2023","Epidermal Growth Factor Receptor Binding (GO:0005154)","1/25","BTC","0.0272","0.1399","142.8","Negative"
"GO_Molecular_Function_2023","Protein Tyrosine Kinase Activator Activity (GO:0030296)","1/29","BTC","0.0314","0.1399","117.4","Negative"
"GO_Molecular_Function_2023","DNA Secondary Structure Binding (GO:0000217)","1/33","MEF2C","0.0357","0.1399","98.9","Negative"
"GO_Molecular_Function_2023","Regulatory RNA Binding (GO:0061980)","1/42","FAM172A","0.0452","0.1399","71.7","Negative"
"GO_Molecular_Function_2023","CCR Chemokine Receptor Binding (GO:0048020)","1/44","CCL27","0.0473","0.1399","67.4","Negative"
"GO_Molecular_Function_2023","Chemokine Activity (GO:0008009)","1/46","CCL27","0.0494","0.1399","63.4","Negative"
"GO_Molecular_Function_2023","Chemokine Receptor Binding (GO:0042379)","1/50","CCL27","0.0536","0.1399","56.7","Negative"
"GO_Molecular_Function_2023","DNA-binding Transcription Activator Activity, RNA Polymerase II-specific (GO:0001228)","2/348","MEF2C;ZNF580","0.0555","0.1399","16.4","Negative"
"GO_Molecular_Function_2023","Serine-Type Endopeptidase Inhibitor Activity (GO:0004867)","1/53","SERPINA3","0.0567","0.1399","52.4","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Protein Secretion (GO:0050714)","1/76","FGG","0.0839","0.1405","29.9","Positive"
"GO_Biological_Process_2023","Proteolysis Involved In Protein Catabolic Process (GO:0051603)","1/78","RNF41","0.0860","0.1424","28.8","Positive"
"GO_Biological_Process_2023","Protein Import Into Nucleus (GO:0006606)","1/79","STK3","0.0871","0.1424","28.3","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Catabolic Process (GO:0009896)","1/79","RNF41","0.0871","0.1424","28.3","Positive"
"Reactome_2022","MECP2 Regulates Transcription Factors R-HSA-9022707","1/5","MEF2C","0.0055","0.1439","1237.7","Negative"
"Reactome_2022","Inhibition Of Signaling By Overexpressed EGFR R-HSA-5638303","1/8","BTC","0.0088","0.1439","643.5","Negative"
"Reactome_2022","EGFR Interacts With Phospholipase C-gamma R-HSA-212718","1/9","BTC","0.0099","0.1439","549.1","Negative"
"Reactome_2022","PI3K Events In ERBB4 Signaling R-HSA-1250342","1/10","BTC","0.0109","0.1439","477.0","Negative"
"Reactome_2022","GRB2 Events In EGFR Signaling R-HSA-179812","1/12","BTC","0.0131","0.1439","374.6","Negative"
"Reactome_2022","SHC1 Events In EGFR Signaling R-HSA-180336","1/13","BTC","0.0142","0.1439","337.0","Negative"
"Reactome_2022","SHC1 Events In ERBB4 Signaling R-HSA-1250347","1/13","BTC","0.0142","0.1439","337.0","Negative"
"Reactome_2022","ERBB2 Activates PTK6 Signaling R-HSA-8847993","1/13","BTC","0.0142","0.1439","337.0","Negative"
"Reactome_2022","GRB2 Events In ERBB2 Signaling R-HSA-1963640","1/15","BTC","0.0164","0.1439","279.2","Negative"
"Reactome_2022","ERBB2 Regulates Cell Motility R-HSA-6785631","1/15","BTC","0.0164","0.1439","279.2","Negative"
"Reactome_2022","PI3K Events In ERBB2 Signaling R-HSA-1963642","1/16","BTC","0.0175","0.1439","256.5","Negative"
"Reactome_2022","GAB1 Signalosome R-HSA-180292","1/17","BTC","0.0185","0.1439","236.9","Negative"
"Reactome_2022","TNF Receptor Superfamily (TNFSF) Members Mediating Non-Canonical NF-kB Pathway R-HSA-5676594","1/17","LTBR","0.0185","0.1439","236.9","Negative"
"Reactome_2022","SHC1 Events In ERBB2 Signaling R-HSA-1250196","1/21","BTC","0.0229","0.1439","179.5","Negative"
"Reactome_2022","Signaling By ERBB2 TMD/JMD Mutants R-HSA-9665686","1/21","BTC","0.0229","0.1439","179.5","Negative"
"Reactome_2022","ERK/MAPK Targets R-HSA-198753","1/22","MEF2C","0.0239","0.1439","168.9","Negative"
"Reactome_2022","Signaling By EGFR In Cancer R-HSA-1643713","1/24","BTC","0.0261","0.1439","150.7","Negative"
"Reactome_2022","Signaling By ERBB2 KD Mutants R-HSA-9664565","1/24","BTC","0.0261","0.1439","150.7","Negative"
"Reactome_2022","Estrogen-dependent Nuclear Events Downstream Of ESR-membrane Signaling R-HSA-9634638","1/24","BTC","0.0261","0.1439","150.7","Negative"
"Reactome_2022","Signaling By ERBB2 In Cancer R-HSA-1227990","1/25","BTC","0.0272","0.1439","142.8","Negative"
"GO_Biological_Process_2023","Regulation Of Interleukin-8 Production (GO:0032677)","1/81","DEFA5","0.0892","0.1447","27.3","Positive"
"GO_Biological_Process_2023","Cellular Response To Organonitrogen Compound (GO:0071417)","1/105","MEF2C","0.1094","0.1449","20.1","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Stress-Activated MAPK Cascade (GO:0032874)","1/105","LTBR","0.1094","0.1449","20.1","Negative"
"GO_Biological_Process_2023","Regulation Of Neuron Apoptotic Process (GO:0043523)","1/105","MEF2C","0.1094","0.1449","20.1","Negative"
"GO_Biological_Process_2023","Response To Calcium Ion (GO:0051592)","1/106","MEF2C","0.1104","0.1453","19.9","Negative"
"Reactome_2022","Myogenesis R-HSA-525793","1/29","MEF2C","0.0314","0.1468","117.4","Negative"
"Reactome_2022","Downregulation Of ERBB2 Signaling R-HSA-8863795","1/29","BTC","0.0314","0.1468","117.4","Negative"
"Reactome_2022","MAPK Targets/ Nuclear Events Mediated By MAP Kinases R-HSA-450282","1/30","MEF2C","0.0325","0.1468","112.2","Negative"
"Reactome_2022","EGFR Downregulation R-HSA-182971","1/31","BTC","0.0336","0.1468","107.5","Negative"
"Reactome_2022","Nuclear Signaling By ERBB4 R-HSA-1251985","1/32","BTC","0.0346","0.1468","103.0","Negative"
"GO_Biological_Process_2023","Establishment Of Protein Localization To Organelle (GO:0072594)","1/85","STK3","0.0934","0.1481","25.5","Positive"
"GO_Biological_Process_2023","Mitotic Spindle Organization (GO:0007052)","1/85","NDC80","0.0934","0.1481","25.5","Positive"
"GO_Biological_Process_2023","Defense Response To Gram-positive Bacterium (GO:0050830)","1/85","DEFA5","0.0934","0.1481","25.5","Positive"
"GO_Biological_Process_2023","Cellular Response To Salt (GO:1902075)","1/109","MEF2C","0.1133","0.1483","19.1","Negative"
"GO_Biological_Process_2023","Regulation Of JNK Cascade (GO:0046328)","1/110","LTBR","0.1143","0.1486","18.8","Negative"
"GO_Molecular_Function_2023","Peptidoglycan Binding (GO:0042834)","1/15","IGHM","0.0171","0.1498","263.6","Positive"
"WikiPathway_2023_Human","SRF And miRs In Smooth Muscle Differentiation And Proliferation WP1991","1/12","MEF2C","0.0131","0.1513","374.6","Negative"
"WikiPathway_2023_Human","Regulation Of Sister Chromatid Separation At The Metaphase Anaphase Transition WP4240","1/15","PTTG1","0.0164","0.1513","279.2","Negative"
"WikiPathway_2023_Human","Cell Differentiation Expanded Index WP2023","1/21","MEF2C","0.0229","0.1513","179.5","Negative"
"WikiPathway_2023_Human","NAD Metabolism In Oncogene Induced Senescence And Mitochondrial Dysfunction Associated Senescence WP5046","1/22","CCL27","0.0239","0.1513","168.9","Negative"
"WikiPathway_2023_Human","13Q12 12 Copy Number Variation WP5406","1/32","C1QTNF9","0.0346","0.1513","103.0","Negative"
"WikiPathway_2023_Human","Prion Disease Pathway WP3995","1/32","MEF2C","0.0346","0.1513","103.0","Negative"
"WikiPathway_2023_Human","Cohesin Complex Cornelia De Lange Syndrome WP5117","1/34","PTTG1","0.0368","0.1513","95.1","Negative"
"WikiPathway_2023_Human","Heart Development WP1591","1/44","MEF2C","0.0473","0.1513","67.4","Negative"
"WikiPathway_2023_Human","Energy Metabolism WP1541","1/48","MEF2C","0.0515","0.1513","59.9","Negative"
"WikiPathway_2023_Human","Rett Syndrome Causing Genes WP4312","1/48","MEF2C","0.0515","0.1513","59.9","Negative"
"WikiPathway_2023_Human","Vitamin B12 Metabolism WP1533","1/50","SERPINA3","0.0536","0.1513","56.7","Negative"
"WikiPathway_2023_Human","Cardiac Progenitor Differentiation WP2406","1/53","MEF2C","0.0567","0.1513","52.4","Negative"
"GO_Biological_Process_2023","Regulation Of MAP Kinase Activity (GO:0043405)","1/114","MEF2C","0.1182","0.1527","17.9","Negative"
"GO_Biological_Process_2023","Protein Maturation (GO:0051604)","1/117","MMEL1","0.1212","0.1527","17.2","Negative"
"GO_Biological_Process_2023","Protein Processing (GO:0016485)","1/117","MMEL1","0.1212","0.1527","17.2","Negative"
"GO_Biological_Process_2023","Cellular Response To Molecule Of Bacterial Origin (GO:0071219)","1/117","MEF2C","0.1212","0.1527","17.2","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071902)","1/117","MEF2C","0.1212","0.1527","17.2","Negative"
"WikiPathway_2023_Human","COVID 19 Thrombosis And Anticoagulation WP4927","1/7","FGG","0.0080","0.1527","730.1","Positive"
"WikiPathway_2023_Human","Transcription Co Factors SKI And SKIL Protein Partners WP4533","1/18","STK3","0.0205","0.1527","207.4","Positive"
"WikiPathway_2023_Human","Blood Clotting Cascade WP272","1/22","FGG","0.0250","0.1527","159.3","Positive"
"WikiPathway_2023_Human","Hippo YAP Signaling WP4537","1/22","STK3","0.0250","0.1527","159.3","Positive"
"WikiPathway_2023_Human","Complement Activation WP545","1/23","C1QC","0.0261","0.1527","150.3","Positive"
"WikiPathway_2023_Human","Leukocyte Intrinsic Hippo Pathway Functions WP4542","1/34","STK3","0.0384","0.1527","89.5","Positive"
"WikiPathway_2023_Human","Immune Infiltration In Pancreatic Cancer WP5285","1/39","REG4","0.0439","0.1527","74.5","Positive"
"WikiPathway_2023_Human","Microglia Pathogen Phagocytosis Pathway WP3937","1/40","C1QC","0.0450","0.1527","72.0","Positive"
"WikiPathway_2023_Human","Oxidative Damage Response WP3941","1/40","C1QC","0.0450","0.1527","72.0","Positive"
"WikiPathway_2023_Human","Fibrin Complement Receptor 3 Signaling Pathway WP4136","1/42","FGG","0.0472","0.1527","67.5","Positive"
"WikiPathway_2023_Human","Mechanoregulation And Pathology Of YAP TAZ Via Hippo And Non Hippo Mechanisms WP4534","1/47","STK3","0.0527","0.1527","58.0","Positive"
"WikiPathway_2023_Human","Pancreatic Cancer Subtypes WP5390","1/48","REG4","0.0538","0.1527","56.3","Positive"
"WikiPathway_2023_Human","DNA IR Double Strand Breaks And Cellular Response Via ATM WP3959","1/55","STK3","0.0614","0.1527","46.8","Positive"
"WikiPathway_2023_Human","Oncostatin M Signaling Pathway WP2374","1/56","OSM","0.0625","0.1527","45.7","Positive"
"WikiPathway_2023_Human","Complement And Coagulation Cascades WP558","1/58","C1QC","0.0646","0.1527","43.5","Positive"
"WikiPathway_2023_Human","TYROBP Causal Network In Microglia WP3945","1/61","C1QC","0.0679","0.1527","40.6","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Peptidyl-Serine Phosphorylation (GO:0033138)","1/89","OSM","0.0975","0.1530","23.9","Positive"
"GO_Biological_Process_2023","Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050730)","1/90","OSM","0.0986","0.1530","23.5","Positive"
"GO_Biological_Process_2023","Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014066)","1/90","OSM","0.0986","0.1530","23.5","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Cell Cycle Process (GO:0090068)","1/118","BTC","0.1221","0.1530","17.0","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Binding (GO:0051099)","1/91","STK3","0.0996","0.1533","23.2","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Protein Catabolic Process (GO:0045732)","1/92","RNF41","0.1007","0.1533","22.8","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Protein Kinase B Signaling (GO:0051897)","1/93","OSM","0.1017","0.1533","22.5","Positive"
"GO_Biological_Process_2023","Regulation Of Peptidyl-Serine Phosphorylation (GO:0033135)","1/93","OSM","0.1017","0.1533","22.5","Positive"
"WikiPathway_2023_Human","Endochondral Ossification WP474","1/63","MEF2C","0.0671","0.1533","41.3","Negative"
"WikiPathway_2023_Human","Endochondral Ossification With Skeletal Dysplasias WP4808","1/63","MEF2C","0.0671","0.1533","41.3","Negative"
"GO_Biological_Process_2023","Regulation Of mRNA Splicing, Via Spliceosome (GO:0048024)","1/94","RBFOX1","0.1027","0.1538","22.1","Positive"
"WikiPathway_2023_Human","Folate Metabolism WP176","1/68","SERPINA3","0.0722","0.1541","37.2","Negative"
"WikiPathway_2023_Human","MECP2 And Associated Rett Syndrome WP3584","1/73","MEF2C","0.0773","0.1547","33.7","Negative"
"WikiPathway_2023_Human","Folate Metabolism WP176","1/68","FGG","0.0754","0.1548","34.9","Positive"
"WikiPathway_2023_Human","MECP2 And Associated Rett Syndrome WP3584","1/73","RBFOX1","0.0807","0.1548","31.6","Positive"
"WikiPathway_2023_Human","Disturbed Pathways In Duchenne Muscular Dystrophy WP5356","1/74","FGG","0.0818","0.1548","31.0","Positive"
"WikiPathway_2023_Human","Regulatory Circuits Of The STAT3 Signaling Pathway WP4538","1/78","IL20RB","0.0860","0.1548","28.8","Positive"
"GO_Biological_Process_2023","Modulation Of Chemical Synaptic Transmission (GO:0050804)","1/123","MEF2C","0.1270","0.1565","16.0","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Epithelial Cell Proliferation (GO:0050679)","1/123","ZNF580","0.1270","0.1565","16.0","Negative"
"GO_Biological_Process_2023","Cellular Response To Lipopolysaccharide (GO:0071222)","1/124","MEF2C","0.1279","0.1565","15.8","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Defense Response (GO:0031349)","1/124","MEF2C","0.1279","0.1565","15.8","Negative"
"GO_Biological_Process_2023","Phosphatidylinositol Biosynthetic Process (GO:0006661)","1/98","IP6K2","0.1069","0.1588","20.8","Positive"
"GO_Biological_Process_2023","Regulation Of Anatomical Structure Morphogenesis (GO:0022603)","1/127","MEF2C","0.1308","0.1591","15.3","Negative"
"GO_Molecular_Function_2023","Phosphotransferase Activity, Phosphate Group As Acceptor (GO:0016776)","1/20","IP6K2","0.0228","0.1593","180.6","Positive"
"WikiPathway_2023_Human","Selenium Micronutrient Network WP15","1/86","FGG","0.0944","0.1603","25.1","Positive"
"WikiPathway_2023_Human","Allograft Rejection WP2328","1/90","C1QC","0.0986","0.1603","23.5","Positive"
"WikiPathway_2023_Human","Complement System WP2806","1/95","FGG","0.1038","0.1603","21.8","Positive"
