"Database","Pathway","Overlap","Genes","p_value","FDR","Combined_Score","Direction"
"GO_Biological_Process_2023","Epithelial Structure Maintenance (GO:0010669)","1/19","SERPINA3","0.0207","0.0965","204.7","Negative"
"GO_Biological_Process_2023","Regulation Of Megakaryocyte Differentiation (GO:0045652)","1/19","MEF2C","0.0207","0.0965","204.7","Negative"
"GO_Biological_Process_2023","Striated Muscle Cell Differentiation (GO:0051146)","1/20","MEF2C","0.0218","0.0965","191.4","Negative"
"GO_Biological_Process_2023","Regulation Of Cardiac Muscle Cell Proliferation (GO:0060043)","1/20","MEF2C","0.0218","0.0965","191.4","Negative"
"GO_Biological_Process_2023","Regulation Of Dendritic Spine Development (GO:0060998)","1/21","MEF2C","0.0229","0.0965","179.5","Negative"
"GO_Biological_Process_2023","Regulation Of Neurotransmitter Transport (GO:0051588)","1/21","MEF2C","0.0229","0.0965","179.5","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Phosphatase Activity (GO:0010922)","1/22","MEF2C","0.0239","0.0965","168.9","Negative"
"GO_Biological_Process_2023","Homologous Chromosome Segregation (GO:0045143)","1/22","PTTG1","0.0239","0.0965","168.9","Negative"
"GO_Biological_Process_2023","Regulation Of Cell Junction Assembly (GO:1901888)","1/23","MEF2C","0.0250","0.0965","159.3","Negative"
"GO_Biological_Process_2023","Cell Morphogenesis Involved In Differentiation (GO:0000904)","1/24","MEF2C","0.0261","0.0965","150.7","Negative"
"GO_Biological_Process_2023","Negative Regulation Of Ossification (GO:0030279)","1/24","MEF2C","0.0261","0.0965","150.7","Negative"
"GO_Biological_Process_2023","Regulation Of AMPA Receptor Activity (GO:2000311)","1/24","MEF2C","0.0261","0.0965","150.7","Negative"
"GO_Biological_Process_2023","Regulation Of Synapse Organization (GO:0050807)","1/25","MEF2C","0.0272","0.0965","142.8","Negative"
"GO_Biological_Process_2023","Chemical Synaptic Transmission, Postsynaptic (GO:0099565)","1/25","MEF2C","0.0272","0.0965","142.8","Negative"
"GO_Biological_Process_2023","Myotube Differentiation (GO:0014902)","1/25","MEF2C","0.0272","0.0965","142.8","Negative"
"GO_Biological_Process_2023","Regulation Of Actin Cytoskeleton Reorganization (GO:2000249)","1/25","CCL27","0.0272","0.0965","142.8","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Striated Muscle Cell Differentiation (GO:0051155)","1/25","MEF2C","0.0272","0.0965","142.8","Negative"
"GO_Biological_Process_2023","Meiosis I (GO:0007127)","1/26","PTTG1","0.0282","0.0965","135.6","Negative"
"GO_Biological_Process_2023","Regulation Of Epidermal Growth Factor-Activated Receptor Activity (GO:0007176)","1/26","BTC","0.0282","0.0965","135.6","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Nuclear Division (GO:0051785)","1/26","BTC","0.0282","0.0965","135.6","Negative"
"GO_Biological_Process_2023","Cellular Response To Xenobiotic Stimulus (GO:0071466)","1/26","MEF2C","0.0282","0.0965","135.6","Negative"
"GO_Biological_Process_2023","Regulation Of Myeloid Cell Differentiation (GO:0045637)","1/26","MEF2C","0.0282","0.0965","135.6","Negative"
"GO_Biological_Process_2023","Cardiac Muscle Cell Differentiation (GO:0055007)","1/27","MEF2C","0.0293","0.0965","129.0","Negative"
"GO_Biological_Process_2023","RNA-mediated Gene Silencing (GO:0031047)","1/29","FAM172A","0.0314","0.0965","117.4","Negative"
"GO_Biological_Process_2023","Positive Regulation Of B Cell Proliferation (GO:0030890)","1/29","MEF2C","0.0314","0.0965","117.4","Negative"
"GO_Biological_Process_2023","Chondrocyte Differentiation (GO:0002062)","1/29","MEF2C","0.0314","0.0965","117.4","Negative"
"GO_Biological_Process_2023","B Cell Proliferation (GO:0042100)","1/31","MEF2C","0.0336","0.0965","107.5","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Leukocyte Migration (GO:0002687)","1/31","ZNF580","0.0336","0.0965","107.5","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001238)","1/31","LTBR","0.0336","0.0965","107.5","Negative"
"GO_Biological_Process_2023","Heterochromatin Formation (GO:0031507)","1/32","FAM172A","0.0346","0.0965","103.0","Negative"
"GO_Biological_Process_2023","Epithelial Tube Morphogenesis (GO:0060562)","1/33","MEF2C","0.0357","0.0965","98.9","Negative"
"GO_Biological_Process_2023","Negative Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043537)","1/33","MEF2C","0.0357","0.0965","98.9","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Epidermal Growth Factor Receptor Signaling Pathway (GO:0045742)","1/33","BTC","0.0357","0.0965","98.9","Negative"
"GO_Biological_Process_2023","Cellular Response To Hydrogen Peroxide (GO:0070301)","1/34","ZNF580","0.0368","0.0965","95.1","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Mitotic Nuclear Division (GO:0045840)","1/35","BTC","0.0378","0.0965","91.5","Negative"
"GO_Biological_Process_2023","Skeletal Muscle Organ Development (GO:0060538)","1/35","MEF2C","0.0378","0.0965","91.5","Negative"
"GO_Biological_Process_2023","Regulation Of Postsynaptic Membrane Potential (GO:0060078)","1/35","MEF2C","0.0378","0.0965","91.5","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Signaling Receptor Activity (GO:2000273)","1/36","BTC","0.0389","0.0965","88.1","Negative"
"GO_Biological_Process_2023","Negative Regulation Of Endothelial Cell Migration (GO:0010596)","1/37","MEF2C","0.0399","0.0965","84.9","Negative"
"GO_Biological_Process_2023","Negative Regulation Of Endothelial Cell Proliferation (GO:0001937)","1/37","MEF2C","0.0399","0.0965","84.9","Negative"
"GO_Biological_Process_2023","Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904705)","1/37","MEF2C","0.0399","0.0965","84.9","Negative"
"GO_Biological_Process_2023","Muscle Cell Differentiation (GO:0042692)","1/37","MEF2C","0.0399","0.0965","84.9","Negative"
"GO_Biological_Process_2023","Muscle Tissue Development (GO:0060537)","1/37","MEF2C","0.0399","0.0965","84.9","Negative"
"GO_Biological_Process_2023","Negative Regulation Of Smooth Muscle Cell Proliferation (GO:0048662)","1/37","MEF2C","0.0399","0.0965","84.9","Negative"
"GO_Biological_Process_2023","Regulation Of Ossification (GO:0030278)","1/37","MEF2C","0.0399","0.0965","84.9","Negative"
"GO_Biological_Process_2023","Lymphocyte Proliferation (GO:0046651)","1/38","MEF2C","0.0410","0.0965","82.0","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Myoblast Differentiation (GO:0045663)","1/38","MEF2C","0.0410","0.0965","82.0","Negative"
"GO_Biological_Process_2023","Heart Looping (GO:0001947)","1/38","MEF2C","0.0410","0.0965","82.0","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Protein Tyrosine Kinase Activity (GO:0061098)","1/38","BTC","0.0410","0.0965","82.0","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Bone Mineralization (GO:0030501)","1/38","MEF2C","0.0410","0.0965","82.0","Negative"
"GO_Biological_Process_2023","Response To Transforming Growth Factor Beta (GO:0071559)","1/38","MEF2C","0.0410","0.0965","82.0","Negative"
