"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Database","Direction","Threshold"
"Regulation Of Macrophage Apoptotic Process (GO:2000109)","1/5",0.0012494733811349,0.0201264524187507,0,0,1249.4375,8352.53105828692,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of Cardiac Muscle Cell Differentiation (GO:2000727)","1/5",0.0012494733811349,0.0201264524187507,0,0,1249.4375,8352.53105828692,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Nephron Tubule Development (GO:0072080)","1/5",0.0012494733811349,0.0201264524187507,0,0,1249.4375,8352.53105828692,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Negative Regulation Of Amyloid Precursor Protein Biosynthetic Process (GO:0042985)","1/5",0.0012494733811349,0.0201264524187507,0,0,1249.4375,8352.53105828692,"ITM2A","GO_Biological_Process_2023","Negative","p < 0.001"
"Epithelial Cell Differentiation Involved In Kidney Development (GO:0035850)","1/6",0.00149921982162069,0.0201264524187507,0,0,999.5,6499.55901988972,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of Myeloid Cell Apoptotic Process (GO:0033034)","1/7",0.00174891651493262,0.0201264524187507,0,0,832.875,5287.7224998036,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Negative Regulation Of Glycoprotein Biosynthetic Process (GO:0010561)","1/8",0.00199856343165899,0.0201264524187507,0,0,713.857142857143,4436.8553176414,"ITM2A","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Skeletal Muscle Cell Differentiation (GO:2001014)","1/8",0.00199856343165899,0.0201264524187507,0,0,713.857142857143,4436.8553176414,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Endochondral Ossification (GO:0001958)","1/8",0.00199856343165899,0.0201264524187507,0,0,713.857142857143,4436.8553176414,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Muscle Cell Fate Commitment (GO:0042693)","1/9",0.00224816055240216,0.0201264524187507,0,0,624.59375,3808.54966343072,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"B Cell Homeostasis (GO:0001782)","1/9",0.00224816055240216,0.0201264524187507,0,0,624.59375,3808.54966343072,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of Leukocyte Apoptotic Process (GO:2000108)","1/9",0.00224816055240216,0.0201264524187507,0,0,624.59375,3808.54966343072,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of Cardiocyte Differentiation (GO:1905209)","1/9",0.00224816055240216,0.0201264524187507,0,0,624.59375,3808.54966343072,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of Skeletal Muscle Tissue Development (GO:0048643)","1/9",0.00224816055240216,0.0201264524187507,0,0,624.59375,3808.54966343072,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Cardiac Muscle Cell Differentiation (GO:2000725)","1/9",0.00224816055240216,0.0201264524187507,0,0,624.59375,3808.54966343072,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Amyloid Precursor Protein Biosynthetic Process (GO:0042984)","1/10",0.00249770786419674,0.0201264524187507,0,0,555.166666666667,3326.77064151216,"ITM2A","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of Behavior (GO:0048520)","1/11",0.00274720535833692,0.0201264524187507,0,0,499.625,2946.37411950643,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Melanocyte Differentiation (GO:0030318)","1/11",0.00274720535833692,0.0201264524187507,0,0,499.625,2946.37411950643,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Cellular Response To Fluid Shear Stress (GO:0071498)","1/11",0.00274720535833692,0.0201264524187507,0,0,499.625,2946.37411950643,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Smooth Muscle Cell Differentiation (GO:0051145)","1/11",0.00274720535833692,0.0201264524187507,0,0,499.625,2946.37411950643,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Endochondral Bone Morphogenesis (GO:0060350)","1/12",0.00299665302989365,0.0201264524187507,0,0,454.181818181818,2638.91411927659,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Vascular Associated Smooth Muscle Cell Migration (GO:1904752)","1/12",0.00299665302989365,0.0201264524187507,0,0,454.181818181818,2638.91411927659,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of Cardiac Muscle Cell Proliferation (GO:0060045)","1/13",0.00324605087508978,0.0201264524187507,0,0,416.3125,2385.60223672184,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Negative Regulation Of Smooth Muscle Cell Migration (GO:0014912)","1/14",0.00349539889312047,0.0201264524187507,0,0,384.269230769231,2173.54503857692,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of NMDA Receptor Activity (GO:2000310)","1/16",0.00399394544865564,0.0201264524187507,0,0,333,1839.15090890099,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of Cardiac Muscle Tissue Growth (GO:0055023)","1/16",0.00399394544865564,0.0201264524187507,0,0,333,1839.15090890099,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Negative Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904706)","1/17",0.00424314398899693,0.0201264524187507,0,0,312.171875,1705.22350136349,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Excitatory Postsynaptic Potential (GO:0060079)","1/18",0.00449229270839297,0.0201264524187507,0,0,293.794117647059,1588.07239728978,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Neural Crest Cell Differentiation (GO:0014033)","1/18",0.00449229270839297,0.0201264524187507,0,0,293.794117647059,1588.07239728978,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Vascular Endothelial Cell Proliferation (GO:1905562)","1/18",0.00449229270839297,0.0201264524187507,0,0,293.794117647059,1588.07239728978,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Megakaryocyte Differentiation (GO:0045652)","1/19",0.00474139160939957,0.0201264524187507,0,0,277.458333333333,1484.79734988759,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Striated Muscle Cell Differentiation (GO:0051146)","1/20",0.00499044069595166,0.0201264524187507,0,0,262.842105263158,1393.12388948095,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Cardiac Muscle Cell Proliferation (GO:0060043)","1/20",0.00499044069595166,0.0201264524187507,0,0,262.842105263158,1393.12388948095,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Dendritic Spine Development (GO:0060998)","1/21",0.00523943997247116,0.0201264524187507,0,0,249.6875,1311.24405900402,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Neurotransmitter Transport (GO:0051588)","1/21",0.00523943997247116,0.0201264524187507,0,0,249.6875,1311.24405900402,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Homologous Chromosome Segregation (GO:0045143)","1/22",0.00548838944332051,0.0201264524187507,0,0,237.785714285714,1237.70327900363,"PTTG1","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of Phosphatase Activity (GO:0010922)","1/22",0.00548838944332051,0.0201264524187507,0,0,237.785714285714,1237.70327900363,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Cell Junction Assembly (GO:1901888)","1/23",0.00573728911332865,0.0201264524187507,0,0,226.965909090909,1171.31850515834,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Cell Morphogenesis Involved In Differentiation (GO:0000904)","1/24",0.00598613898759602,0.0201264524187507,0,0,217.086956521739,1111.11804759418,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Negative Regulation Of Ossification (GO:0030279)","1/24",0.00598613898759602,0.0201264524187507,0,0,217.086956521739,1111.11804759418,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of AMPA Receptor Activity (GO:2000311)","1/24",0.00598613898759602,0.0201264524187507,0,0,217.086956521739,1111.11804759418,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Chemical Synaptic Transmission, Postsynaptic (GO:0099565)","1/25",0.00623493907047315,0.0201264524187507,0,0,208.03125,1056.29666076894,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Myotube Differentiation (GO:0014902)","1/25",0.00623493907047315,0.0201264524187507,0,0,208.03125,1056.29666076894,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of Striated Muscle Cell Differentiation (GO:0051155)","1/25",0.00623493907047315,0.0201264524187507,0,0,208.03125,1056.29666076894,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Synapse Organization (GO:0050807)","1/25",0.00623493907047315,0.0201264524187507,0,0,208.03125,1056.29666076894,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Meiosis I (GO:0007127)","1/26",0.00648368936979889,0.0201264524187507,0,0,199.7,1006.18157701364,"PTTG1","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Myeloid Cell Differentiation (GO:0045637)","1/26",0.00648368936979889,0.0201264524187507,0,0,199.7,1006.18157701364,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Cellular Response To Xenobiotic Stimulus (GO:0071466)","1/26",0.00648368936979889,0.0201264524187507,0,0,199.7,1006.18157701364,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Cardiac Muscle Cell Differentiation (GO:0055007)","1/27",0.00673238988859165,0.0202348353486666,0,0,192.009615384615,960.206501870871,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Chondrocyte Differentiation (GO:0002062)","1/29",0.00722964161170616,0.0202348353486666,0,0,178.276785714286,878.827148224897,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of B Cell Proliferation (GO:0030890)","1/29",0.00722964161170616,0.0202348353486666,0,0,178.276785714286,878.827148224897,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"B Cell Proliferation (GO:0042100)","1/31",0.007726694289036,0.0202348353486666,0,0,166.375,809.093962505696,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Epithelial Tube Morphogenesis (GO:0060562)","1/33",0.00822354796912648,0.0202348353486666,0,0,155.9609375,748.730022278245,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Negative Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043537)","1/33",0.00822354796912648,0.0202348353486666,0,0,155.9609375,748.730022278245,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Skeletal Muscle Organ Development (GO:0060538)","1/35",0.00872020270373213,0.0202348353486666,0,0,146.772058823529,696.009658167556,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Postsynaptic Membrane Potential (GO:0060078)","1/35",0.00872020270373213,0.0202348353486666,0,0,146.772058823529,696.009658167556,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Negative Regulation Of Endothelial Cell Migration (GO:0010596)","1/37",0.00921665854482154,0.0202348353486666,0,0,138.604166666667,649.602069210737,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Negative Regulation Of Endothelial Cell Proliferation (GO:0001937)","1/37",0.00921665854482154,0.0202348353486666,0,0,138.604166666667,649.602069210737,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Muscle Cell Differentiation (GO:0042692)","1/37",0.00921665854482154,0.0202348353486666,0,0,138.604166666667,649.602069210737,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Muscle Tissue Development (GO:0060537)","1/37",0.00921665854482154,0.0202348353486666,0,0,138.604166666667,649.602069210737,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Negative Regulation Of Smooth Muscle Cell Proliferation (GO:0048662)","1/37",0.00921665854482154,0.0202348353486666,0,0,138.604166666667,649.602069210737,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Ossification (GO:0030278)","1/37",0.00921665854482154,0.0202348353486666,0,0,138.604166666667,649.602069210737,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904705)","1/37",0.00921665854482154,0.0202348353486666,0,0,138.604166666667,649.602069210737,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Lymphocyte Proliferation (GO:0046651)","1/38",0.00946481189593688,0.0202348353486666,0,0,134.851351351351,628.430811079944,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of Bone Mineralization (GO:0030501)","1/38",0.00946481189593688,0.0202348353486666,0,0,134.851351351351,628.430811079944,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Response To Transforming Growth Factor Beta (GO:0071559)","1/38",0.00946481189593688,0.0202348353486666,0,0,134.851351351351,628.430811079944,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Neurotransmitter Secretion (GO:0046928)","1/38",0.00946481189593688,0.0202348353486666,0,0,134.851351351351,628.430811079944,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of Myoblast Differentiation (GO:0045663)","1/38",0.00946481189593688,0.0202348353486666,0,0,134.851351351351,628.430811079944,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Heart Looping (GO:0001947)","1/38",0.00946481189593688,0.0202348353486666,0,0,134.851351351351,628.430811079944,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Stem Cell Differentiation (GO:0048863)","1/41",0.0102089737568119,0.0202348353486666,0,0,124.71875,571.771633377479,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of Ossification (GO:0045778)","1/41",0.0102089737568119,0.0202348353486666,0,0,124.71875,571.771633377479,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Cardiac Ventricle Morphogenesis (GO:0003208)","1/42",0.0104569283345458,0.0202348353486666,0,0,121.670731707317,554.878218723978,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Determination Of Heart Left/Right Asymmetry (GO:0061371)","1/42",0.0104569283345458,0.0202348353486666,0,0,121.670731707317,554.878218723978,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Neurotransmitter Receptor Activity (GO:0099601)","1/42",0.0104569283345458,0.0202348353486666,0,0,121.670731707317,554.878218723978,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Embryonic Heart Tube Morphogenesis (GO:0003143)","1/42",0.0104569283345458,0.0202348353486666,0,0,121.670731707317,554.878218723978,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of Neuron Differentiation (GO:0045666)","1/42",0.0104569283345458,0.0202348353486666,0,0,121.670731707317,554.878218723978,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Skeletal Muscle Tissue Development (GO:0007519)","1/42",0.0104569283345458,0.0202348353486666,0,0,121.670731707317,554.878218723978,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of Biomineral Tissue Development (GO:0070169)","1/43",0.0107048332367717,0.0203993822741787,0,0,118.767857142857,538.856886224195,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of Osteoblast Differentiation (GO:0045669)","1/44",0.0109526884693577,0.0203993822741787,0,0,116,523.643758342585,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of B Cell Proliferation (GO:0030888)","1/44",0.0109526884693577,0.0203993822741787,0,0,116,523.643758342585,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"B Cell Receptor Signaling Pathway (GO:0050853)","1/46",0.0114482499529966,0.0210591264567468,0,0,110.833333333333,495.415956354284,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Synapse Assembly (GO:0051963)","1/51",0.0126862849341824,0.0228954736522559,0,0,99.725,435.522390256301,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Cartilage Development (GO:0051216)","1/52",0.0129337430598205,0.0228954736522559,0,0,97.7647058823529,425.072693906196,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of B Cell Activation (GO:0050871)","1/52",0.0129337430598205,0.0228954736522559,0,0,97.7647058823529,425.072693906196,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Mesenchymal Cell Differentiation (GO:0048762)","1/54",0.0134285105037049,0.0228954736522559,0,0,94.0660377358491,405.459914594901,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Myoblast Differentiation (GO:0045661)","1/54",0.0134285105037049,0.0228954736522559,0,0,94.0660377358491,405.459914594901,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043535)","1/54",0.0134285105037049,0.0228954736522559,0,0,94.0660377358491,405.459914594901,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Neuron Migration (GO:0001764)","1/55",0.0136758198325556,0.0228954736522559,0,0,92.3194444444444,396.246686077218,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Synaptic Transmission, Glutamatergic (GO:0051966)","1/55",0.0136758198325556,0.0228954736522559,0,0,92.3194444444444,396.246686077218,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Muscle Organ Development (GO:0007517)","1/58",0.0144174503390076,0.0233500010925232,0,0,87.4473684210526,370.717026091757,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Neuron Death (GO:1901214)","1/58",0.0144174503390076,0.0233500010925232,0,0,87.4473684210526,370.717026091757,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Bone Mineralization (GO:0030500)","1/58",0.0144174503390076,0.0233500010925232,0,0,87.4473684210526,370.717026091757,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Secretion By Cell (GO:1903530)","1/64",0.0158993733235186,0.0254731895183255,0,0,79.0952380952381,327.570997393791,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Monoatomic Ion Transmembrane Transporter Activity (GO:0032412)","1/69",0.01713294726931,0.0268716751908125,0,0,73.2610294117647,297.934432634127,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Cellular Response To Calcium Ion (GO:0071277)","1/69",0.01713294726931,0.0268716751908125,0,0,73.2610294117647,297.934432634127,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of Lymphocyte Proliferation (GO:0050671)","1/74",0.018365284102935,0.0282105910447146,0,0,68.2260273972603,272.719430604103,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Negative Regulation Of Neuron Apoptotic Process (GO:0043524)","1/74",0.018365284102935,0.0282105910447146,0,0,68.2260273972603,272.719430604103,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Cell Morphogenesis Involved In Neuron Differentiation (GO:0048667)","1/77",0.0191040927721202,0.0290460186025093,0,0,65.5230263157895,259.330485674006,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Neuron Differentiation (GO:0045664)","1/79",0.0195963847396345,0.0294935487495509,0,0,63.8365384615385,251.031453818202,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Osteoblast Differentiation (GO:0045667)","1/85",0.0210720750045875,0.0313973917568354,0,0,59.2589285714286,228.728002100453,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Negative Regulation Of Neuron Death (GO:1901215)","1/88",0.0218092535740446,0.0321740473518083,0,0,57.2068965517241,218.84045903048,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of MAP Kinase Activity (GO:0043406)","1/91",0.0225459880333307,0.0329348256565321,0,0,55.2916666666667,209.676955663718,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"B Cell Activation (GO:0042113)","1/92",0.0227914675292109,0.0329701811830333,0,0,54.6813186813187,206.770245759688,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Cellular Response To Hormone Stimulus (GO:0032870)","1/94",0.0232822785774214,0.033356341423421,0,0,53.5,201.163358937128,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560)","1/96",0.0237728924186839,0.0337348663846085,0,0,52.3684210526316,195.81648814875,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"MAPK Cascade (GO:0000165)","1/98",0.0242633091136396,0.0341059722446444,0,0,51.2835051546392,190.712585247944,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Neuron Apoptotic Process (GO:0043523)","1/105",0.0259782158449948,0.0358403163046687,0,0,47.8149038461538,174.548160380973,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Cellular Response To Organonitrogen Compound (GO:0071417)","1/105",0.0259782158449948,0.0358403163046687,0,0,47.8149038461538,174.548160380973,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Response To Calcium Ion (GO:0051592)","1/106",0.026223005581082,0.0358461268952406,0,0,47.3571428571429,172.432953709799,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Cellular Response To Salt (GO:1902075)","1/109",0.0269570795265086,0.0365145895404525,0,0,46.0347222222222,166.346898022579,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of MAP Kinase Activity (GO:0043405)","1/114",0.0281795523721255,0.0378266063373576,0,0,43.9867256637168,156.995602705958,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071902)","1/117",0.0289124461657949,0.0381234909619774,0,0,42.8426724137931,151.812286231042,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Cellular Response To Molecule Of Bacterial Origin (GO:0071219)","1/117",0.0289124461657949,0.0381234909619774,0,0,42.8426724137931,151.812286231042,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Modulation Of Chemical Synaptic Transmission (GO:0050804)","1/123",0.0303769073612365,0.0393319055484087,0,0,40.7233606557377,142.29037805694,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of Defense Response (GO:0031349)","1/124",0.0306208123732578,0.0393319055484087,0,0,40.390243902439,140.803433983989,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Cellular Response To Lipopolysaccharide (GO:0071222)","1/124",0.0306208123732578,0.0393319055484087,0,0,40.390243902439,140.803433983989,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Anatomical Structure Morphogenesis (GO:0022603)","1/127",0.0313522329588074,0.0399272026569428,0,0,39.4226190476191,136.499627403737,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Circulatory System Development (GO:0072359)","1/132",0.0325702861721075,0.0411268867766443,0,0,37.9083969465649,129.811803825291,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Antigen Receptor-Mediated Signaling Pathway (GO:0050851)","1/134",0.0330571642565278,0.0413481578067114,0,0,37.3345864661654,127.292905972477,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Cellular Response To Metal Ion (GO:0071248)","1/135",0.0333005297772172,0.0413481578067114,0,0,37.0541044776119,126.064806275557,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Neuron Development (GO:0048666)","1/150",0.0369451367295898,0.045494424567842,0,0,33.2986577181208,109.82967060964,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Cellular Response To Organic Cyclic Compound (GO:0071407)","1/152",0.0374302526522604,0.045713997091695,0,0,32.8543046357616,107.935458749657,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Cellular Response To Growth Factor Stimulus (GO:0071363)","1/155",0.0381575599921209,0.0462233856815124,0,0,32.2094155844156,105.1969618998,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Response To Lipopolysaccharide (GO:0032496)","1/159",0.0391266191990589,0.0470150504891918,0,0,31.3876582278481,101.725901420768,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Heart Development (GO:0007507)","1/171",0.0420291116371445,0.0498764919850159,0,0,29.1544117647059,92.4017817611758,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Generation Of Neurons (GO:0048699)","1/172",0.0422706690502999,0.0498764919850159,0,0,28.9824561403509,91.6906904195877,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Neuron Differentiation (GO:0030182)","1/173",0.0425121777321948,0.0498764919850159,0,0,28.8125,90.9888581843975,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Negative Regulation Of Macromolecule Metabolic Process (GO:0010605)","1/186",0.045647359735153,0.0531363796917016,0,0,26.7702702702703,82.6347248753714,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Cellular Response To Lipid (GO:0071396)","1/228",0.0557203290321446,0.0643591397348027,0,0,21.7709251101322,62.8615917704536,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Negative Regulation Of Multicellular Organismal Process (GO:0051241)","1/231",0.0564365590011092,0.0646849791628097,0,0,21.4836956521739,61.7578505067598,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of Cell Differentiation (GO:0045597)","1/283",0.0687823200968866,0.0782333259117259,0,0,17.4760638297872,46.7800769471477,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of MAPK Cascade (GO:0043410)","1/310",0.0751414522316401,0.0848187604735938,0,0,15.9271844660194,41.2256521083018,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Negative Regulation Of Gene Expression (GO:0010629)","1/336",0.0812321807420449,0.0910044731621405,0,0,14.6716417910448,36.8323321080761,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)","1/364",0.0877554973697224,0.09757887394096,0,0,13.5206611570248,32.8984831450837,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Cellular Response To Oxygen-Containing Compound (GO:1901701)","1/406",0.0974709498073476,0.107579048305887,0,0,12.0925925925926,28.1539849098634,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Nervous System Development (GO:0007399)","1/433",0.103672760508197,0.113582656733245,0,0,11.3211805555556,25.659635443414,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Regulation Of Nucleic Acid-Templated Transcription (GO:1903506)","1/452",0.108016524228216,0.117477825620468,0,0,10.8337028824834,24.1100922532973,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of Gene Expression (GO:0010628)","1/480",0.114387149280359,0.122464751228859,0,0,10.1858037578288,22.0845188684389,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Negative Regulation Of Apoptotic Process (GO:0043066)","1/482",0.114840797252064,0.122464751228859,0,0,10.1424116424116,21.950293299046,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
"Positive Regulation Of Cell Population Proliferation (GO:0008284)","1/483",0.115067551490203,0.122464751228859,0,0,10.1208506224066,21.8836667446843,"MEF2C","GO_Biological_Process_2023","Negative","p < 0.001"
